chrom	strand	start	end	value
chr7	+	754063	754073	105.0
chr7	+	157814	157824	57.0
chr7	+	448683	448693	57.0
chr7	+	609935	609945	43.0
chr7	+	35320	35330	38.0
chr7	+	560547	560557	31.0
chr7	+	21782	21792	29.0
chr7	+	158985	158995	29.0
chr7	+	560473	560483	29.0
chr7	+	609973	609983	28.0
chr7	+	905695	905705	28.0
chr7	+	1084130	1084140	28.0
chr7	+	500045	500055	27.0
chr7	+	157855	157865	26.0
chr7	+	27667	27677	24.0
chr7	+	53668	53678	24.0
chr7	+	54997	55007	24.0
chr7	+	756850	756860	24.0
chr7	+	188804	188814	23.0
chr7	+	610185	610195	23.0
chr7	+	1026220	1026230	23.0
chr7	+	153249	153259	22.0
chr7	+	494380	494390	21.0
chr7	+	596522	596532	21.0
chr7	+	787152	787162	21.0
chr7	+	800103	800113	21.0
chr7	+	932210	932220	21.0
chr7	+	979595	979605	21.0
chr7	+	994043	994053	21.0
chr7	+	67505	67515	20.0
chr7	+	93795	93805	20.0
chr7	+	158398	158408	20.0
chr7	+	461380	461390	20.0
chr7	+	781672	781682	20.0
chr7	+	976996	977006	20.0
chr7	+	250196	250206	19.0
chr7	+	263000	263010	19.0
chr7	+	399673	399683	19.0
chr7	+	542039	542049	19.0
chr7	+	543315	543325	19.0
chr7	+	843864	843874	19.0
chr7	+	873191	873201	19.0
chr7	+	207669	207679	18.0
chr7	+	262365	262375	18.0
chr7	+	284886	284896	18.0
chr7	+	411965	411975	18.0
chr7	+	560325	560335	18.0
chr7	+	605041	605051	18.0
chr7	+	609347	609357	18.0
chr7	+	621641	621651	18.0
chr7	+	648267	648277	18.0
chr7	+	740773	740783	18.0
chr7	+	761391	761401	18.0
chr7	+	776531	776541	18.0
chr7	+	787725	787735	18.0
chr7	+	905193	905203	18.0
chr7	+	961030	961040	18.0
chr7	+	1044185	1044195	18.0
chr7	+	1084198	1084208	18.0
chr7	+	53788	53798	17.0
chr7	+	292746	292756	17.0
chr7	+	521907	521917	17.0
chr7	+	922338	922348	17.0
chr7	+	962231	962241	17.0
chr7	+	41389	41399	16.0
chr7	+	49871	49881	16.0
chr7	+	60452	60462	16.0
chr7	+	200388	200398	16.0
