chrom	start	end	value	strand	chrom	start	end	value	strand	midpoint	c-w reads sum	c-w distance (bp)
chr7	640516	640526	2428.0	+	chr7	640543	640553	969.0	-	640534	3397.0	27
chr7	609897	609907	2026.0	+	chr7	609925	609935	575.0	-	609916	2601.0	28
chr7	962202	962212	1568.0	+	chr7	962226	962236	577.0	-	962219	2145.0	24
chr7	976933	976943	1199.0	+	chr7	976963	976973	67.0	-	976953	1266.0	30
chr7	787086	787096	1039.0	+	chr7	787113	787123	585.0	-	787104	1624.0	27
chr7	1022478	1022488	933.0	+	chr7	1022504	1022514	257.0	-	1022496	1190.0	26
chr7	35212	35222	813.0	+	chr7	35239	35249	527.0	-	35230	1340.0	27
chr7	200313	200323	772.0	+	chr7	200339	200349	600.0	-	200331	1372.0	26
chr7	417337	417347	750.0	+	chr7	417366	417376	180.0	-	417356	930.0	29
chr7	1083951	1083961	739.0	+	chr7	1083979	1083989	78.0	-	1083970	817.0	28
chr7	1051847	1051857	640.0	+	chr7	1051874	1051884	12.0	-	1051865	652.0	27
chr7	157716	157726	598.0	+	chr7	157745	157755	1022.0	-	157735	1620.0	29
chr7	217372	217382	577.0	+	chr7	217399	217409	563.0	-	217390	1140.0	27
chr7	190993	191003	525.0	+	chr7	191020	191030	658.0	-	191011	1183.0	27
chr7	756617	756627	505.0	+	chr7	756644	756654	403.0	-	756635	908.0	27
chr7	1084180	1084190	495.0	+	chr7	1084223	1084233	80.0	-	1084206	575.0	43
chr7	272974	272984	485.0	+	chr7	273002	273012	651.0	-	272993	1136.0	28
chr7	377307	377317	461.0	+	chr7	377334	377344	336.0	-	377325	797.0	27
chr7	787118	787128	452.0	+	chr7	787135	787145	601.0	-	787131	1053.0	17
chr7	953831	953841	452.0	+	chr7	953857	953867	494.0	-	953849	946.0	26
chr7	770409	770419	428.0	+	chr7	770435	770445	417.0	-	770427	845.0	26
chr7	53690	53700	409.0	+	chr7	53717	53727	719.0	-	53708	1128.0	27
chr7	374945	374955	399.0	+	chr7	374970	374980	363.0	-	374962	762.0	25
chr7	397898	397908	399.0	+	chr7	397924	397934	154.0	-	397916	553.0	26
chr7	648176	648186	393.0	+	chr7	648202	648212	258.0	-	648194	651.0	26
chr7	1084280	1084290	380.0	+	chr7	1084307	1084317	334.0	-	1084298	714.0	27
chr7	123473	123483	326.0	+	chr7	123497	123507	476.0	-	123490	802.0	24
chr7	596344	596354	319.0	+	chr7	596388	596398	248.0	-	596371	567.0	44
chr7	855020	855030	318.0	+	chr7	855046	855056	565.0	-	855038	883.0	26
chr7	905058	905068	317.0	+	chr7	905085	905095	144.0	-	905076	461.0	27
chr7	511155	511165	290.0	+	chr7	511184	511194	178.0	-	511174	468.0	29
chr7	1026204	1026214	254.0	+	chr7	1026232	1026242	242.0	-	1026223	496.0	28
chr7	581833	581843	230.0	+	chr7	581861	581871	475.0	-	581852	705.0	28
chr7	271401	271411	223.0	+	chr7	271427	271437	146.0	-	271419	369.0	26
chr7	888648	888658	218.0	+	chr7	888675	888685	993.0	-	888666	1211.0	27
chr7	500003	500013	214.0	+	chr7	500030	500040	193.0	-	500021	407.0	27
chr7	560410	560420	201.0	+	chr7	560435	560445	477.0	-	560427	678.0	25
chr7	843697	843707	201.0	+	chr7	843724	843734	958.0	-	843715	1159.0	27
chr7	800263	800273	200.0	+	chr7	800287	800297	448.0	-	800280	648.0	24
chr7	905644	905654	189.0	+	chr7	905674	905684	165.0	-	905664	354.0	30
chr7	316653	316663	182.0	+	chr7	316679	316689	154.0	-	316671	336.0	26
chr7	284281	284291	176.0	+	chr7	284308	284318	420.0	-	284299	596.0	27
chr7	1061751	1061761	168.0	+	chr7	1061777	1061787	760.0	-	1061769	928.0	26
chr7	754051	754061	167.0	+	chr7	754077	754087	68.0	-	754069	235.0	26
chr7	1084135	1084145	155.0	+	chr7	1084170	1084180	52.0	-	1084157	207.0	35
chr7	49385	49395	148.0	+	chr7	49409	49419	456.0	-	49402	604.0	24
chr7	245290	245300	147.0	+	chr7	245325	245335	31.0	-	245312	178.0	35
chr7	41326	41336	143.0	+	chr7	41353	41363	1271.0	-	41344	1414.0	27
chr7	596366	596376	141.0	+	chr7	596444	596454	5.0	-	596410	146.0	78
chr7	345809	345819	140.0	+	chr7	345819	345829	57.0	-	345819	197.0	10
chr7	70	80	131.0	+	chr7	93	103	368.0	-	86	499.0	23
chr7	936974	936984	123.0	+	chr7	937000	937010	66.0	-	936992	189.0	26
chr7	511178	511188	122.0	+	chr7	511244	511254	24.0	-	511216	146.0	66
chr7	757508	757518	114.0	+	chr7	757535	757545	430.0	-	757526	544.0	27
chr7	345833	345843	110.0	+	chr7	345858	345868	1292.0	-	345850	1402.0	25
chr7	584671	584681	104.0	+	chr7	584696	584706	365.0	-	584688	469.0	25
chr7	560379	560389	103.0	+	chr7	560391	560401	63.0	-	560390	166.0	12
chr7	377284	377294	101.0	+	chr7	377297	377307	3.0	-	377295	104.0	13
chr7	601467	601477	99.0	+	chr7	601494	601504	62.0	-	601485	161.0	27
chr7	1063296	1063306	97.0	+	chr7	1063312	1063322	19.0	-	1063309	116.0	16
chr7	157743	157753	90.0	+	chr7	157793	157803	67.0	-	157773	157.0	50
chr7	532722	532732	84.0	+	chr7	532748	532758	30.0	-	532740	114.0	26
chr7	347047	347057	82.0	+	chr7	347072	347082	109.0	-	347064	191.0	25
chr7	640486	640496	82.0	+	chr7	640493	640503	3.0	-	640494	85.0	7
chr7	1084258	1084268	79.0	+	chr7	1084325	1084335	150.0	-	1084296	229.0	67
chr7	787043	787053	78.0	+	chr7	787054	787064	7.0	-	787053	85.0	11
chr7	1070089	1070099	78.0	+	chr7	1070116	1070126	116.0	-	1070107	194.0	27
chr7	1070103	1070113	78.0	+	chr7	1070141	1070151	10.0	-	1070127	88.0	38
chr7	770382	770392	70.0	+	chr7	770390	770400	3.0	-	770391	73.0	8
chr7	79070	79080	67.0	+	chr7	79095	79105	23.0	-	79087	90.0	25
chr7	129356	129366	67.0	+	chr7	129385	129395	34.0	-	129375	101.0	29
chr7	1084319	1084329	67.0	+	chr7	1084360	1084370	45.0	-	1084344	112.0	41
chr7	210233	210243	66.0	+	chr7	210246	210256	23.0	-	210244	89.0	13
chr7	200271	200281	65.0	+	chr7	200288	200298	18.0	-	200284	83.0	17
chr7	905663	905673	60.0	+	chr7	905707	905717	31.0	-	905690	91.0	44
chr7	718719	718729	59.0	+	chr7	718737	718747	37.0	-	718733	96.0	18
chr7	144229	144239	58.0	+	chr7	144255	144265	41.0	-	144247	99.0	26
chr7	857818	857828	58.0	+	chr7	857844	857854	111.0	-	857836	169.0	26
chr7	494362	494372	56.0	+	chr7	494388	494398	76.0	-	494380	132.0	26
chr7	888618	888628	56.0	+	chr7	888633	888643	5.0	-	888630	61.0	15
chr7	591680	591690	55.0	+	chr7	591706	591716	23.0	-	591698	78.0	26
chr7	345779	345789	54.0	+	chr7	345795	345805	5.0	-	345792	59.0	16
chr7	976989	976999	54.0	+	chr7	977018	977028	34.0	-	977008	88.0	29
chr7	1026181	1026191	53.0	+	chr7	1026193	1026203	18.0	-	1026192	71.0	12
chr7	676841	676851	52.0	+	chr7	676868	676878	70.0	-	676859	122.0	27
chr7	965836	965846	52.0	+	chr7	965860	965870	24.0	-	965853	76.0	24
chr7	625549	625559	51.0	+	chr7	625562	625572	47.0	-	625560	98.0	13
chr7	513021	513031	50.0	+	chr7	513046	513056	171.0	-	513038	221.0	25
chr7	79085	79095	49.0	+	chr7	79117	79127	16.0	-	79106	65.0	32
chr7	719461	719471	48.0	+	chr7	719545	719555	3.0	-	719508	51.0	84
chr7	35173	35183	47.0	+	chr7	35192	35202	9.0	-	35187	56.0	19
chr7	800235	800245	46.0	+	chr7	800242	800252	9.0	-	800243	55.0	7
chr7	843663	843673	46.0	+	chr7	843673	843683	25.0	-	843673	71.0	10
chr7	781603	781613	45.0	+	chr7	781627	781637	168.0	-	781620	213.0	24
chr7	115757	115767	43.0	+	chr7	115784	115794	119.0	-	115775	162.0	27
chr7	609936	609946	43.0	+	chr7	609964	609974	53.0	-	609955	96.0	28
chr7	932105	932115	43.0	+	chr7	932133	932143	71.0	-	932124	114.0	28
chr7	485321	485331	42.0	+	chr7	485346	485356	44.0	-	485338	86.0	25
chr7	560347	560357	42.0	+	chr7	560367	560377	19.0	-	560362	61.0	20
chr7	681232	681242	41.0	+	chr7	681256	681266	27.0	-	681249	68.0	24
chr7	897342	897352	41.0	+	chr7	897363	897373	80.0	-	897357	121.0	21
chr7	1070062	1070072	41.0	+	chr7	1070076	1070086	6.0	-	1070074	47.0	14
chr7	866226	866236	40.0	+	chr7	866262	866272	159.0	-	866249	199.0	36
chr7	609843	609853	39.0	+	chr7	609866	609876	6.0	-	609859	45.0	23
chr7	144570	144580	38.0	+	chr7	144581	144591	20.0	-	144580	58.0	11
chr7	511132	511142	38.0	+	chr7	511141	511151	4.0	-	511141	42.0	9
chr7	397865	397875	37.0	+	chr7	397961	397971	40.0	-	397918	77.0	96
chr7	36790	36800	36.0	+	chr7	36827	36837	130.0	-	36813	166.0	37
chr7	756577	756587	36.0	+	chr7	756584	756594	2.0	-	756585	38.0	7
chr7	953773	953783	36.0	+	chr7	953796	953806	44.0	-	953789	80.0	23
chr7	953808	953818	36.0	+	chr7	953908	953918	15.0	-	953863	51.0	100
chr7	428426	428436	35.0	+	chr7	428450	428460	5.0	-	428443	40.0	24
chr7	681260	681270	35.0	+	chr7	681278	681288	62.0	-	681274	97.0	18
chr7	316631	316641	34.0	+	chr7	316643	316653	10.0	-	316642	44.0	12
chr7	53655	53665	33.0	+	chr7	53665	53675	6.0	-	53665	39.0	10
chr7	249705	249715	32.0	+	chr7	249732	249742	28.0	-	249723	60.0	27
chr7	1031660	1031670	32.0	+	chr7	1031689	1031699	13.0	-	1031679	45.0	29
chr7	345738	345748	31.0	+	chr7	345773	345783	14.0	-	345760	45.0	35
chr7	641871	641881	31.0	+	chr7	641894	641904	37.0	-	641887	68.0	23
chr7	756820	756830	31.0	+	chr7	756847	756857	58.0	-	756838	89.0	27
chr7	757452	757462	31.0	+	chr7	757470	757480	4.0	-	757466	35.0	18
chr7	905600	905610	30.0	+	chr7	905626	905636	6.0	-	905618	36.0	26
chr7	53721	53731	29.0	+	chr7	53768	53778	13.0	-	53749	42.0	47
chr7	1083930	1083940	29.0	+	chr7	1083944	1083954	16.0	-	1083942	45.0	14
chr7	375034	375044	28.0	+	chr7	375063	375073	4.0	-	375053	32.0	29
chr7	513037	513047	28.0	+	chr7	513087	513097	6.0	-	513067	34.0	50
chr7	584623	584633	28.0	+	chr7	584646	584656	13.0	-	584639	41.0	23
chr7	271347	271357	27.0	+	chr7	271354	271364	8.0	-	271355	35.0	7
chr7	757485	757495	27.0	+	chr7	757516	757526	111.0	-	757505	138.0	31
chr7	123443	123453	26.0	+	chr7	123465	123475	9.0	-	123459	35.0	22
chr7	731841	731851	26.0	+	chr7	731854	731864	27.0	-	731852	53.0	13
